age_group,genre,booking_count,preference_weight
10대 이하,클래식 기악,10195,0.568029864051705
10대 이하,무용,3540,0.19723646088700691
10대 이하,뮤지컬,2550,0.14207711165589482
10대 이하,오페라,1177,0.06557833741921106
10대 이하,클래식 성악,251,0.013984845108090038
10대 이하,대중/복합,235,0.013093380878092267
20대,클래식 기악,204716,0.6135099496523615
20대,뮤지컬,50991,0.15281407336370176
20대,무용,45218,0.13551306641093264
20대,오페라,19092,0.05721649484536082
20대,클래식 성악,9981,0.02991189163270199
20대,대중/복합,3682,0.011034524094941262
30대,클래식 기악,440903,0.5272849256615832
30대,무용,165329,0.1977203363885115
30대,뮤지컬,160010,0.1913592353762844
30대,오페라,40532,0.04847304873615124
30대,클래식 성악,19701,0.023560829299094928
30대,대중/복합,9701,0.011601624538374697
40대,클래식 기악,551471,0.5151407019920132
40대,무용,222733,0.20805959692674156
40대,뮤지컬,206193,0.1926092337871605
40대,오페라,57323,0.05354662431984307
40대,클래식 성악,19919,0.018606758366222182
40대,대중/복합,12886,0.01203708460801943
50대,클래식 기악,689712,0.6089150606079333
50대,무용,174648,0.15418870123334716
50대,뮤지컬,141810,0.12519753860279512
50대,오페라,78186,0.0690268299358165
50대,클래식 성악,35910,0.031703290397196056
50대,대중/복합,12424,0.010968579222911829
60대,클래식 기악,433041,0.6721295954256056
60대,뮤지컬,71005,0.11020795241835098
60대,무용,65628,0.10186222803058288
60대,오페라,47037,0.0730068510372787
60대,클래식 성악,19820,0.03076292679292608
60대,대중/복합,7751,0.012030446295255804
70대 이상,클래식 기악,224742,0.7121147789276231
70대 이상,뮤지컬,31185,0.09881241325990658
70대 이상,무용,23959,0.07591619718756139
70대 이상,오페라,22232,0.07044404590650132
70대 이상,클래식 성악,10702,0.03391022756798205
70대 이상,대중/복합,2778,0.008802337150425542
